id,numVuelo,paisOrigen,paisDestino ,fechaSalida,horaSalida ,fechaLlegada,horaLlegada,avionRef,vacantes
2082,2082,China,Russia,14/9/1989,13:22,25/8/1972,11:14,876-29,10
2083,2083,Yemen,China,19/9/2017,4:05,29/11/1972,16:51,242-84,47
2084,2084,Indonesia,China,11/1/1973,20:15,6/12/2016,21:16,806-17,11
2085,2085,Tonga,China,7/9/1977,2:36,15/6/2011,21:25,367-04,39
2086,2086,Poland,Philippines,9/6/2001,23:00,26/9/1984,12:19,406-86,95
2087,2087,Indonesia,Palestinian Territory,30/1/2015,0:20,6/11/1985,15:54,114-85,46
2088,2088,Canada,Portugal,10/6/2020,10:31,16/5/1986,18:50,003-32,72
2089,2089,Portugal,Indonesia,10/2/2007,5:31,15/4/1977,18:29,490-18,86
2090,2090,Philippines,Israel,6/4/2012,3:55,17/5/2011,12:16,818-29,18
2091,2091,Philippines,Sweden,6/8/2002,21:30,18/8/1999,11:16,967-08,30
2092,2092,China,Indonesia,2/2/2013,1:10,20/1/1974,8:13,041-95,33
2093,2093,Bahrain,Montenegro,6/6/2007,1:03,8/5/1978,18:49,594-26,77
2094,2094,Iran,Sweden,23/7/2013,1:52,20/8/2021,13:39,266-22,69
2095,2095,Indonesia,China,18/1/2000,13:11,17/1/2002,17:35,850-67,66
2096,2096,Tanzania,China,25/7/1998,16:31,3/8/1991,16:23,617-27,36
2097,2097,Indonesia,Peru,22/9/2003,21:57,11/7/2013,7:01,795-38,39
2098,2098,Afghanistan,Sweden,6/8/2020,23:26,5/3/1985,11:24,588-92,79
2099,2099,Brazil,Czech Republic,10/1/1993,22:45,24/12/1976,4:58,723-42,58
2100,2100,Sweden,Canada,30/1/1971,21:48,1/12/2018,21:27,468-04,27
2101,2101,France,Philippines,10/12/1976,10:11,15/9/2000,15:06,217-41,64
2102,2102,China,New Zealand,18/2/1980,17:18,11/6/2005,5:45,979-40,66
2103,2103,Brazil,Papua New Guinea,20/9/1975,7:38,14/11/1977,1:25,882-79,90
2104,2104,Macedonia,Panama,14/11/2002,15:16,12/6/1985,9:56,726-37,42
2105,2105,Indonesia,China,7/10/1989,6:06,19/2/1989,16:37,608-27,83
2106,2106,Sweden,China,14/9/2011,22:24,3/9/2012,9:45,144-77,62
2107,2107,China,Nigeria,7/9/1975,15:01,26/6/1986,14:00,851-92,76
2108,2108,Portugal,Mexico,20/5/2020,4:53,20/12/2004,19:46,353-62,38
2109,2109,Morocco,Portugal,13/11/1989,2:55,4/3/1994,3:31,021-12,74
2110,2110,Russia,Croatia,19/12/1997,5:41,23/6/1973,7:05,660-41,23
2111,2111,Indonesia,Thailand,21/2/2009,8:45,28/11/2012,22:25,106-51,20
2112,2112,China,China,21/12/1985,13:26,19/8/1996,9:06,030-01,74
2113,2113,Russia,China,7/8/1990,10:08,25/2/1993,1:26,344-14,26
2114,2114,Russia,Guatemala,9/8/1999,3:18,2/5/1976,5:54,919-67,72
2115,2115,Comoros,Mongolia,27/8/2014,12:41,6/9/1987,11:34,924-85,24
2116,2116,Canada,Russia,31/5/2020,23:52,23/8/1971,12:29,832-86,71
2117,2117,Portugal,France,26/11/2002,4:15,24/5/2012,17:29,674-56,18
2118,2118,Indonesia,China,9/12/1993,2:23,19/6/2020,11:43,488-97,41
2119,2119,Canada,Ireland,21/10/1996,4:50,18/7/1980,17:20,103-62,20
2120,2120,China,Finland,10/3/2010,0:36,9/1/2021,4:38,860-32,41
2121,2121,China,China,4/9/1999,5:25,9/6/1987,0:20,663-16,42
2122,2122,Japan,Indonesia,16/12/1990,11:21,10/1/1992,3:42,722-62,71
2123,2123,Bolivia,Indonesia,10/7/2015,11:05,20/4/1992,12:10,701-56,52
2124,2124,Tunisia,Thailand,17/11/1974,0:16,18/11/1990,17:26,627-33,74
2125,2125,Indonesia,Senegal,30/12/1995,16:18,2/7/1986,19:25,462-87,05
2126,2126,Honduras,Venezuela,3/4/1984,5:37,20/10/2012,19:01,691-94,31
2127,2127,China,Norway,14/6/1995,5:56,11/5/2001,4:41,668-79,93
2128,2128,Indonesia,Philippines,20/5/1980,21:23,10/4/1972,21:38,531-89,19
2129,2129,Sri Lanka,Indonesia,22/11/1977,23:12,16/6/2013,23:51,504-20,37
2130,2130,China,France,18/5/1981,4:14,24/6/2011,21:06,459-41,42
2131,2131,Venezuela,Indonesia,23/7/1997,15:30,6/12/1993,8:24,665-64,87
2132,2132,South Korea,Poland,30/10/1984,21:42,10/10/1987,15:34,318-27,89
2133,2133,Indonesia,Madagascar,20/2/2010,21:03,30/4/1983,22:49,224-99,59
2134,2134,China,Greece,17/8/1978,15:19,6/3/1974,16:48,888-84,72
2135,2135,Madagascar,Netherlands,14/5/2013,22:48,9/2/2004,3:29,633-66,16
2136,2136,Greece,Indonesia,15/3/2003,17:22,17/3/1979,12:02,835-63,38
2137,2137,China,Colombia,10/8/2006,4:58,27/4/1972,13:59,403-64,47
2138,2138,Peru,China,26/12/1996,0:37,12/8/2009,18:37,846-04,52
2139,2139,South Africa,Spain,3/9/1996,1:15,22/1/1981,19:17,340-66,30
2140,2140,Czech Republic,Brazil,15/10/1995,2:26,24/3/2002,12:10,247-17,07
2141,2141,Slovenia,Indonesia,11/10/2009,1:11,10/9/2014,6:32,681-85,96
2142,2142,Ukraine,United States,23/10/1977,3:20,31/1/2010,16:48,682-02,89
2143,2143,China,Poland,22/11/2009,19:28,24/7/1996,4:10,710-71,00
2144,2144,China,Sweden,23/1/2020,11:30,1/4/1980,10:29,885-93,96
2145,2145,China,Nicaragua,6/9/1984,4:13,12/8/1974,11:19,896-52,66
2146,2146,China,Poland,5/12/1979,14:28,18/8/1992,11:21,489-19,19
2147,2147,Laos,Brazil,13/3/2020,17:20,21/5/1999,5:11,699-83,04
2148,2148,China,Colombia,14/7/1982,16:24,26/10/2018,5:39,101-40,50
2149,2149,Pakistan,South Africa,31/3/2018,14:13,3/6/2002,22:14,419-22,03
2150,2150,Indonesia,Poland,2/7/1988,23:20,14/10/2009,18:03,701-09,28
2151,2151,Mongolia,Netherlands,1/4/1999,7:59,23/2/1972,14:48,877-62,59
2152,2152,Portugal,Canada,26/9/1983,20:55,29/10/1991,14:03,355-37,92
2153,2153,Poland,China,1/11/1979,5:28,15/7/2010,5:33,490-00,71
2154,2154,Indonesia,Brazil,10/7/1999,2:18,8/10/1996,23:06,764-50,85
2155,2155,China,Russia,15/2/2009,0:48,9/11/2012,8:20,893-51,54
2156,2156,China,United States,25/3/1976,18:06,24/11/1986,19:39,679-91,40
2157,2157,Indonesia,Poland,9/3/1995,19:53,30/6/2001,9:56,902-13,83
2158,2158,Nigeria,Indonesia,1/11/1979,8:20,14/7/2003,17:20,398-35,08
2159,2159,Indonesia,Armenia,21/11/2011,13:54,22/5/1976,15:10,202-01,28
2160,2160,Colombia,China,21/7/1997,20:49,28/11/1993,3:37,861-13,93
2161,2161,Luxembourg,Philippines,27/1/1996,19:33,7/4/1993,18:30,220-56,21
2162,2162,China,Sweden,1/11/1979,3:56,22/11/1998,13:04,013-10,36
2163,2163,Mongolia,China,30/12/1998,5:21,21/6/1996,4:55,047-59,96
2164,2164,Venezuela,Sweden,2/7/2012,13:00,19/2/1999,21:34,932-87,57
2165,2165,Portugal,Brazil,16/12/2017,8:53,13/7/1998,11:33,003-54,22
2166,2166,Dominican Republic,Philippines,20/12/2016,12:49,16/11/2011,9:16,453-36,80
2167,2167,Indonesia,Russia,9/6/2011,13:18,7/10/2002,6:26,901-87,51
2168,2168,Sweden,Japan,26/4/1995,1:28,19/7/2009,18:35,674-17,41
2169,2169,China,Philippines,3/6/1975,15:50,16/9/1988,3:46,269-56,68
2170,2170,French Guiana,Argentina,25/10/1989,19:08,2/2/2020,18:49,320-10,52
2171,2171,Madagascar,Indonesia,31/12/1976,9:41,24/6/1975,16:15,711-03,11
2172,2172,China,Armenia,30/12/2002,14:03,23/1/2015,18:45,199-67,62
2173,2173,Norway,China,6/1/2018,0:30,9/2/2012,5:42,673-93,75
2174,2174,Czech Republic,China,19/2/2016,19:20,31/5/1974,17:16,745-82,23
2175,2175,Germany,China,6/7/2019,19:57,2/6/1985,16:55,285-38,44
2176,2176,Chad,Honduras,30/8/1992,4:40,16/2/2007,16:52,592-37,56
2177,2177,Czech Republic,China,23/5/2003,3:31,16/7/2005,13:59,209-59,72
2178,2178,Sweden,China,14/5/2006,11:10,24/5/1991,17:45,175-55,11
2179,2179,China,Indonesia,8/4/1982,10:07,6/11/2008,8:54,155-80,00
2180,2180,Canada,Ukraine,18/8/2004,0:13,9/2/1990,10:30,748-68,85
2181,2181,China,China,27/4/1975,6:55,13/1/2012,0:38,505-67,76
2182,2182,Russia,Ethiopia,25/8/1971,20:36,30/4/2008,11:01,538-13,31
2183,2183,China,China,16/11/1999,23:21,10/3/1996,17:51,864-59,90
2184,2184,United States,Indonesia,7/5/1987,13:49,28/11/1971,6:23,303-85,81
2185,2185,Philippines,China,15/2/1990,14:36,10/9/1973,1:33,051-38,25
2186,2186,China,Brazil,14/4/1976,19:41,23/6/2000,21:51,478-09,17
2187,2187,Serbia,Russia,30/9/2004,15:41,25/1/2009,4:03,961-04,35
2188,2188,Russia,France,22/10/2020,16:26,2/5/2006,22:06,268-64,17
2189,2189,China,Japan,23/6/1979,3:25,2/7/1973,8:12,095-75,10
2190,2190,China,Thailand,24/2/1987,4:15,31/12/2013,6:54,578-35,59
2191,2191,Philippines,Poland,9/2/2019,16:49,1/3/2009,6:36,155-02,24
2192,2192,Portugal,Russia,21/3/2006,21:11,18/9/1971,11:35,357-73,62
2193,2193,South Korea,Morocco,12/1/2007,11:07,8/10/2010,21:10,820-66,65
2194,2194,Russia,Finland,16/3/1975,15:45,7/11/2019,9:24,004-03,05
2195,2195,Philippines,Greece,21/11/2014,17:01,2/10/1980,17:28,454-45,58
2196,2196,Madagascar,China,18/8/2003,9:35,16/3/2020,0:35,936-16,91
2197,2197,France,China,30/3/1999,4:10,1/5/2001,17:04,001-11,20
2198,2198,Russia,Nigeria,1/7/2013,3:10,16/7/1992,11:00,583-19,02
2199,2199,China,Bulgaria,29/6/2002,6:57,6/6/1985,9:26,733-27,99
2200,2200,Bangladesh,Latvia,14/9/1979,21:29,12/3/2017,19:00,653-08,83
2201,2201,Belarus,Brazil,29/9/2007,6:19,8/11/1973,4:38,685-30,87
2202,2202,Paraguay,Czech Republic,19/11/1981,3:21,13/3/1974,13:33,520-96,81
2203,2203,Belarus,China,10/1/2015,5:23,16/8/1990,12:26,289-58,67
2204,2204,Sweden,China,21/10/2019,19:21,12/9/2004,21:10,040-39,77
2205,2205,Indonesia,Kenya,24/7/1996,11:26,21/1/2008,16:08,708-29,65
2206,2206,Ukraine,Ecuador,21/11/2016,3:19,9/3/2016,20:34,164-99,37
2207,2207,Australia,Venezuela,31/12/1989,17:06,22/5/2013,12:24,280-36,61
2208,2208,Malaysia,Indonesia,19/2/2014,19:26,13/2/1979,10:57,024-35,50
2209,2209,Nigeria,Indonesia,18/9/2002,3:37,19/8/1986,18:17,266-64,36
2210,2210,Brazil,Czech Republic,14/4/2015,15:21,21/8/1982,5:37,576-74,96
2211,2211,Philippines,Canada,18/2/1996,8:25,12/11/1993,9:23,808-24,12
2212,2212,Portugal,Indonesia,28/8/1997,5:27,18/3/2021,23:26,707-15,27
2213,2213,China,Liberia,12/3/1975,9:37,17/5/1992,5:00,785-05,16
2214,2214,China,Sweden,9/2/1986,20:17,8/5/2015,1:51,179-75,58
2215,2215,Papua New Guinea,Yemen,6/11/1980,18:13,3/11/1987,5:10,095-06,74
2216,2216,Russia,Indonesia,15/9/1991,16:05,24/4/1989,12:38,151-75,89
2217,2217,Philippines,France,31/8/1998,4:06,12/11/1973,8:21,438-57,70
2218,2218,Japan,China,23/3/1993,10:10,26/4/1975,5:11,418-51,45
2219,2219,China,Sweden,24/3/2014,12:10,5/8/2005,22:41,536-70,91
2220,2220,China,France,14/4/1996,8:04,22/5/1972,6:53,490-61,66
2221,2221,Greece,Philippines,30/10/1983,9:08,4/3/2019,13:40,341-92,42
2222,2222,China,Indonesia,6/5/2010,15:10,30/1/1997,6:25,359-96,90
2223,2223,Kazakhstan,Serbia,2/7/1981,3:58,14/7/1989,6:25,344-74,58
2224,2224,Russia,Gambia,22/12/2005,10:21,12/3/2005,8:32,791-11,09
2225,2225,China,Indonesia,27/8/1973,17:38,7/11/1986,8:05,286-41,49
2226,2226,Sierra Leone,China,19/6/1989,12:23,22/9/2007,2:50,190-33,17
2227,2227,Venezuela,Nigeria,18/10/2012,0:06,13/8/2015,12:00,248-87,22
2228,2228,Kazakhstan,China,21/11/1988,7:49,15/4/2006,8:03,927-23,22
2229,2229,Poland,Cambodia,22/1/2012,23:02,11/3/1981,6:20,770-00,32
2230,2230,Cape Verde,China,13/1/1986,18:44,21/3/2002,12:06,777-17,28
2231,2231,Canada,Brazil,12/8/2012,10:08,23/6/1992,3:46,425-98,90
2232,2232,Japan,China,2/6/1986,16:29,22/12/1989,8:09,696-16,06
2233,2233,South Africa,Benin,30/1/1998,7:33,28/4/1979,0:59,489-76,09
2234,2234,Afghanistan,Russia,16/10/2006,20:04,21/3/1979,20:27,793-97,62
2235,2235,Serbia,Argentina,17/7/2017,22:53,28/8/2019,5:59,795-24,39
2236,2236,Serbia,Brazil,19/4/2011,8:31,22/1/2001,20:11,798-71,34
2237,2237,Brazil,Philippines,14/10/2007,8:49,10/12/1996,9:55,987-45,06
2238,2238,Netherlands,Chile,12/8/1998,12:51,27/7/2008,2:58,063-78,00
2239,2239,Tanzania,United States,18/5/1982,8:12,29/10/1996,2:45,575-27,53
2240,2240,Malta,Malaysia,31/12/1992,2:09,14/9/1972,6:22,427-37,42
2241,2241,Honduras,China,18/2/1995,22:45,5/1/1999,3:31,160-14,14
2242,2242,Philippines,Thailand,11/7/2005,13:56,5/9/1982,5:12,537-35,43
2243,2243,Bhutan,Brazil,9/10/2018,13:26,16/10/2008,4:30,257-29,04
2244,2244,Portugal,France,13/2/2013,9:02,8/11/1999,18:46,713-02,80
2245,2245,China,South Africa,25/8/1971,3:37,20/8/1977,6:04,670-48,15
2246,2246,Portugal,Portugal,17/1/1980,23:18,26/9/1978,14:09,659-80,74
2247,2247,Philippines,South Africa,12/5/1992,18:29,3/12/1978,0:21,282-41,57
2248,2248,Indonesia,Serbia,26/8/1975,7:13,28/9/2008,16:09,216-29,20
2249,2249,Indonesia,Russia,19/5/1995,4:20,28/12/1999,4:49,079-98,98
2250,2250,Portugal,Syria,4/10/1996,7:11,7/1/1973,4:51,319-79,17
2251,2251,China,Vietnam,25/4/2012,2:56,1/5/1984,22:11,075-35,49
2252,2252,Spain,Bulgaria,10/7/1971,9:04,8/11/1971,3:34,991-13,84
2253,2253,United Kingdom,Indonesia,25/11/2001,21:45,9/5/1986,22:24,712-53,79
2254,2254,Yemen,China,18/12/1987,23:31,25/12/1979,9:35,666-60,86
2255,2255,China,Indonesia,4/12/1972,9:56,26/8/1995,1:00,959-77,14
2256,2256,Colombia,Portugal,22/8/1972,0:35,23/10/2012,7:20,821-05,03
2257,2257,Indonesia,China,23/3/2004,4:14,23/6/1973,19:38,372-46,14
2258,2258,Libya,China,12/10/2004,5:33,26/2/1995,1:19,590-23,86
2259,2259,Poland,Vietnam,11/2/1994,17:27,31/5/2013,14:04,703-60,82
2260,2260,Canada,China,16/4/2016,2:02,19/4/1987,15:42,573-44,18
2261,2261,Indonesia,Cuba,12/11/1993,12:00,2/9/1979,19:06,419-92,66
2262,2262,Norway,Argentina,6/4/2008,13:13,4/6/1977,0:38,081-81,12
2263,2263,Indonesia,Brazil,30/3/2017,20:24,23/8/1979,3:32,546-16,24
2264,2264,Moldova,China,12/1/1974,13:27,6/3/2009,4:00,797-27,02
2265,2265,China,China,24/6/2021,3:13,28/5/1999,15:46,369-34,17
2266,2266,Russia,Indonesia,27/2/2009,1:43,24/4/1991,7:04,580-39,56
2267,2267,Poland,Sweden,18/8/2009,3:57,7/9/1975,14:11,935-80,87
2268,2268,Russia,Poland,22/5/1997,10:46,9/11/1995,12:18,270-80,71
2269,2269,Morocco,China,18/11/1988,17:05,23/1/2015,22:59,828-79,65
2270,2270,Brazil,Indonesia,5/1/1982,22:11,17/4/1980,11:36,906-86,65
2271,2271,Brazil,Indonesia,12/1/1987,13:39,7/1/2015,22:05,202-07,62
2272,2272,Philippines,Russia,28/8/1973,6:37,7/9/1973,1:17,464-78,48
2273,2273,Brazil,Jordan,16/12/2008,11:10,5/6/1985,18:20,980-88,38
2274,2274,Mexico,Niger,18/6/1993,1:26,28/1/1986,8:25,509-72,47
2275,2275,France,Japan,6/6/2001,22:31,30/8/2017,8:46,485-05,51
2276,2276,China,Russia,29/12/1992,18:23,1/11/1985,19:56,420-29,20
2277,2277,Philippines,Russia,23/6/1976,16:03,22/10/1999,8:54,586-33,87
2278,2278,Philippines,Albania,24/1/1974,20:25,14/4/1981,1:40,359-60,14
2279,2279,Sweden,Jordan,16/12/2002,0:31,13/9/1999,13:39,939-77,08
2280,2280,Dominican Republic,China,14/5/1994,21:12,30/6/2004,15:59,014-11,95
2281,2281,Indonesia,Vietnam,8/3/1998,15:25,29/10/2013,22:03,112-19,76
2282,2282,Malaysia,Vietnam,5/9/1977,13:57,15/8/1985,20:48,678-01,04
2283,2283,Ukraine,China,26/12/1990,6:18,22/1/1999,19:51,392-14,00
2284,2284,Guatemala,China,25/11/2011,6:29,18/11/1993,14:50,848-21,45
2285,2285,Turkmenistan,Indonesia,15/6/2007,18:22,25/11/1989,21:43,433-70,73
2286,2286,China,Indonesia,14/3/1989,6:29,7/1/2008,21:40,619-61,94
2287,2287,Japan,Dominican Republic,28/4/1981,4:59,31/7/2021,21:44,631-63,97
2288,2288,China,Japan,21/3/2011,16:36,25/6/1998,12:35,176-57,06
2289,2289,Brazil,Azerbaijan,9/9/1987,22:33,5/8/1985,12:13,811-18,91
2290,2290,Kazakhstan,Mongolia,27/5/1978,3:53,26/9/2005,12:31,471-79,55
2291,2291,China,United States,15/7/1992,6:23,5/5/1988,20:40,524-77,36
2292,2292,Poland,Norway,18/2/1993,2:50,31/7/1996,21:39,664-97,55
2293,2293,China,Uzbekistan,21/8/2008,11:57,13/8/1999,13:15,762-41,13
2294,2294,Poland,China,17/3/2017,16:45,30/4/1990,12:04,050-20,82
2295,2295,Mali,China,7/1/1976,13:30,16/7/2014,17:35,768-85,18
2296,2296,Ivory Coast,China,28/3/1998,14:28,7/9/2007,20:57,678-55,28
2297,2297,Japan,Philippines,24/7/2005,5:56,10/3/1985,10:17,330-53,28
2298,2298,Sweden,Nigeria,22/2/1991,21:58,30/10/1984,6:06,067-88,70
2299,2299,Haiti,Russia,27/2/1992,15:14,23/12/1970,22:04,222-56,89
2300,2300,Democratic Republic of the Congo,Sweden,7/9/1989,15:03,30/3/2013,9:42,834-79,11
2301,2301,Indonesia,Philippines,4/10/2012,13:37,1/3/2019,21:20,609-24,96
2302,2302,Philippines,Greece,18/3/2021,1:21,22/1/2006,16:47,624-32,67
2303,2303,France,Iran,11/4/2009,18:43,14/5/2017,14:45,292-54,45
2304,2304,Indonesia,Honduras,12/11/1993,17:03,2/6/1986,15:05,237-78,71
2305,2305,Zimbabwe,Bolivia,23/11/2009,3:04,24/10/2007,23:53,828-17,75
2306,2306,Dominican Republic,Russia,10/1/1992,9:23,13/2/1999,1:21,320-55,08
2307,2307,Brazil,Peru,27/1/1985,1:07,14/7/1979,23:31,880-74,73
2308,2308,Sweden,Kuwait,22/2/1972,8:51,16/5/2002,9:48,032-52,07
2309,2309,Mexico,Czech Republic,9/11/2020,9:54,28/1/1999,16:51,595-40,66
2310,2310,Indonesia,Indonesia,22/7/1992,12:00,29/6/2002,18:25,626-10,47
2311,2311,China,Kiribati,1/9/1997,1:06,23/11/1985,15:15,532-35,79
2312,2312,Nigeria,Philippines,5/8/1975,5:13,7/7/1985,2:21,532-88,19
2313,2313,Portugal,Egypt,31/12/1980,19:18,2/3/2001,19:34,018-75,47
2314,2314,Japan,Chile,20/9/1991,7:33,7/12/1980,4:26,856-75,70
2315,2315,Finland,China,7/3/1988,18:16,1/7/2018,10:29,938-04,90
2316,2316,China,Argentina,7/2/1985,18:02,18/12/1972,22:21,690-53,02
2317,2317,Croatia,Brazil,12/4/1983,15:19,17/5/2011,11:46,301-74,23
2318,2318,China,Russia,23/8/1975,1:54,30/6/1978,2:13,845-65,03
2319,2319,Bulgaria,Tunisia,19/3/2008,2:52,25/3/1985,21:28,743-73,35
2320,2320,Indonesia,China,25/5/1993,7:36,6/6/2016,9:22,691-52,68
2321,2321,Brazil,China,24/5/1992,4:07,8/9/2020,7:19,640-47,72
2322,2322,Finland,Portugal,28/2/1982,1:43,11/9/1993,6:14,421-24,82
