id,numVuelo,paisOrigen,paisDestino ,fechaSalida,horaSalida ,fechaLlegada,horaLlegada,avionRef,vacantes
81,81,Bangladesh,Philippines,18/5/1997,8:30,25/2/1985,4:20,796-09,52
82,82,France,Indonesia,20/3/1995,2:39,25/7/2006,12:43,312-73,94
83,83,Russia,Greece,12/4/1999,8:33,7/7/1974,14:42,390-19,21
84,84,China,Philippines,28/2/1977,7:53,29/8/2009,21:59,393-59,27
85,85,Nigeria,Ukraine,21/6/1983,8:54,13/12/2019,20:32,954-49,97
86,86,Indonesia,Vietnam,9/8/1984,17:51,9/7/2002,6:54,353-00,87
87,87,Philippines,Canada,19/4/1996,20:45,4/10/2012,4:12,979-38,75
88,88,Philippines,Indonesia,26/7/1980,23:14,25/2/2011,22:34,354-48,94
89,89,Mexico,Saudi Arabia,3/9/1987,11:01,14/6/1997,23:33,551-51,66
90,90,Venezuela,Kazakhstan,21/9/1998,2:45,7/4/1973,19:09,782-08,07
91,91,Jordan,Vietnam,24/8/2009,12:16,14/6/1984,1:47,197-55,51
92,92,Poland,South Africa,6/9/1973,20:02,20/12/1992,11:03,895-40,20
93,93,Russia,Japan,29/10/1992,2:46,22/4/1988,4:42,525-05,37
94,94,China,Sweden,6/2/2018,23:23,25/1/2008,4:39,244-10,77
95,95,Indonesia,Philippines,9/4/1987,11:33,5/8/1989,11:26,505-52,87
96,96,Canada,Egypt,7/11/2014,20:05,1/8/1995,18:21,446-23,70
97,97,Moldova,China,24/8/2019,5:57,18/10/1978,16:56,046-40,53
98,98,Portugal,Philippines,12/11/2013,19:04,22/1/1988,7:36,025-70,29
99,99,Norway,Poland,4/6/2014,17:59,8/9/1990,21:59,040-38,87
100,100,China,Mexico,5/6/2003,19:06,22/11/1972,21:52,018-40,67
101,101,Indonesia,Indonesia,19/8/1979,12:02,23/10/1989,9:51,232-05,00
102,102,Croatia,Portugal,10/12/1979,1:49,25/3/1973,15:18,823-45,20
103,103,China,China,22/2/1986,12:19,23/3/1986,11:53,659-32,84
104,104,New Zealand,Canada,24/7/1977,5:02,19/12/1991,15:57,798-64,86
105,105,Indonesia,Indonesia,18/4/1999,13:14,10/4/2005,19:08,771-57,05
106,106,Poland,China,4/5/2008,11:46,28/6/2016,23:34,150-35,82
107,107,China,Greece,23/4/1981,6:18,28/5/1993,6:07,761-38,68
108,108,Portugal,Japan,18/1/2000,0:28,16/10/1981,5:45,659-45,74
109,109,China,Portugal,22/5/2012,13:35,27/3/1984,1:20,166-01,03
110,110,Kyrgyzstan,Poland,21/8/1986,17:12,9/11/1993,3:07,644-93,91
111,111,Russia,Slovenia,3/3/1994,15:59,23/8/2008,2:55,655-76,54
112,112,Ireland,Turkey,28/7/1972,14:25,3/8/1980,9:04,061-92,14
113,113,Portugal,Portugal,8/6/2001,3:38,22/9/2003,0:39,124-45,12
114,114,Colombia,Philippines,3/6/1974,18:53,16/9/1976,12:06,792-82,35
115,115,Indonesia,Colombia,18/4/1989,18:29,7/1/1983,5:45,495-03,12
116,116,Tanzania,China,25/9/1984,18:35,1/9/2008,0:41,827-49,37
117,117,Jamaica,Colombia,8/8/2015,10:42,5/5/1974,14:20,179-11,26
118,118,Indonesia,Iceland,15/6/2016,13:34,20/7/1973,1:02,640-39,49
119,119,Japan,Portugal,20/2/2017,7:24,21/3/2013,2:41,616-86,07
120,120,Poland,Ethiopia,13/12/1986,1:04,16/2/2019,8:13,227-15,66
121,121,Indonesia,Brazil,30/9/1972,2:24,21/6/1980,1:06,047-67,13
122,122,Indonesia,Brazil,14/9/1988,18:48,8/8/2012,2:23,968-32,42
123,123,Russia,Colombia,4/7/1972,4:52,15/1/2006,8:06,983-18,56
124,124,Ukraine,Afghanistan,6/6/1999,3:53,17/10/1993,15:10,598-00,96
125,125,Russia,Indonesia,27/8/1998,7:19,10/12/2005,13:50,836-94,93
126,126,China,China,4/3/2010,18:46,27/5/1986,19:30,366-32,42
127,127,Croatia,Russia,11/4/1989,17:25,8/12/2000,18:08,535-75,40
128,128,Indonesia,Armenia,1/6/1991,7:49,14/3/1975,12:37,021-04,24
129,129,Indonesia,Pakistan,21/12/2003,17:24,20/9/2002,8:09,625-07,62
130,130,Panama,Poland,27/5/1977,21:26,15/6/1998,13:57,484-65,15
131,131,Finland,Sweden,10/2/2011,9:06,30/9/1993,1:05,315-66,46
132,132,Tanzania,Botswana,26/5/1993,13:08,24/1/2000,16:50,692-70,67
133,133,Yemen,Thailand,24/1/2006,7:35,6/5/1997,10:02,475-06,56
134,134,Russia,Russia,1/9/1992,6:52,2/10/1976,16:21,359-69,83
135,135,Indonesia,China,12/3/1986,8:13,5/1/1979,13:06,397-04,58
136,136,Brazil,Bosnia and Herzegovina,7/11/2015,0:08,26/5/1988,8:03,594-52,19
137,137,Portugal,Philippines,29/6/1979,17:20,7/9/1989,12:56,802-78,36
138,138,Ukraine,Russia,19/5/1997,19:56,17/12/2007,1:02,135-99,85
139,139,Brazil,Gambia,28/10/2009,14:31,16/10/2002,11:48,271-96,44
140,140,China,Azerbaijan,3/2/1979,2:53,13/7/2013,17:21,670-02,32
141,141,Indonesia,Indonesia,4/11/1987,10:05,29/6/2002,19:06,864-82,45
142,142,Poland,China,30/7/2016,0:01,20/1/1991,21:15,925-76,04
143,143,China,Poland,15/1/2019,20:56,20/2/2000,7:48,914-77,29
144,144,Philippines,Mexico,30/12/1976,10:00,22/12/1978,1:52,021-49,48
145,145,China,Philippines,29/10/1986,7:57,4/11/1985,23:00,975-14,44
146,146,Norway,Peru,30/1/1996,21:33,2/11/2008,10:11,624-09,64
147,147,Indonesia,Thailand,19/4/1977,8:33,10/3/2007,19:31,932-60,56
148,148,Netherlands,United States,31/7/1998,12:02,27/7/1983,19:19,492-30,09
149,149,Greece,Indonesia,25/7/2014,4:02,23/4/1991,20:53,981-15,93
150,150,New Caledonia,Guadeloupe,1/6/2003,4:19,31/8/1982,5:48,318-41,85
151,151,Bolivia,Tajikistan,18/5/1998,11:37,17/9/1999,20:05,234-11,30
152,152,Mongolia,Brazil,18/2/2020,6:31,13/8/1989,13:01,745-80,61
153,153,Ukraine,Indonesia,30/10/2007,15:42,18/6/1983,18:17,991-08,87
154,154,Indonesia,Honduras,7/9/1995,15:46,6/12/2000,11:12,992-68,26
155,155,China,Indonesia,8/3/1996,23:43,30/5/2009,3:22,365-61,74
156,156,Indonesia,Syria,27/10/1987,15:41,2/11/1994,18:20,558-40,69
157,157,Ethiopia,Philippines,5/8/1982,5:25,17/3/1976,7:17,433-36,06
158,158,Brazil,Brazil,5/6/2015,17:42,27/2/1971,7:59,241-20,77
159,159,Kyrgyzstan,Canada,25/2/1996,12:28,16/7/2009,12:51,507-31,71
160,160,Sri Lanka,Brazil,5/9/1997,22:46,29/1/2006,15:12,272-15,88
161,161,China,Indonesia,25/6/1981,4:21,7/10/1992,16:57,817-45,84
162,162,China,Cuba,6/6/2017,1:55,13/3/1992,0:41,127-94,86
163,163,Slovenia,Colombia,19/7/2004,7:27,21/5/2001,19:04,382-74,31
164,164,China,Indonesia,1/5/1986,10:38,3/4/1995,9:07,488-24,78
165,165,China,Nigeria,1/8/1988,10:23,20/2/2012,13:43,499-74,49
166,166,Sweden,United States,24/7/2006,22:04,12/5/1987,16:50,197-07,77
167,167,Philippines,Nigeria,29/9/2007,7:51,26/1/2016,6:37,667-41,07
168,168,Philippines,Philippines,10/1/1983,16:45,18/10/1981,3:54,628-82,40
169,169,China,Palestinian Territory,7/10/2020,23:10,29/3/2014,17:40,065-22,21
170,170,United States,Philippines,5/11/1997,2:24,4/11/2014,12:17,866-90,52
171,171,Mauritania,Kosovo,20/1/2015,16:03,31/10/1981,12:43,345-97,38
172,172,Czech Republic,China,18/7/1977,11:31,16/7/2006,7:11,419-04,27
173,173,China,France,29/6/2000,10:09,4/8/1974,20:17,993-79,18
174,174,United States,Russia,31/12/2013,22:08,28/6/2006,8:23,558-11,51
175,175,Indonesia,Sweden,23/11/1997,1:16,3/7/2014,0:52,147-14,30
176,176,Japan,Indonesia,10/12/2002,3:31,27/5/1978,8:17,607-45,95
177,177,Brazil,Thailand,19/5/1972,1:18,2/8/2012,8:26,750-98,35
178,178,Indonesia,China,20/8/2021,16:33,20/12/1983,20:02,872-21,74
179,179,Indonesia,Slovenia,20/11/2013,11:03,15/12/1975,3:31,718-29,88
180,180,Czech Republic,Brazil,24/3/1990,13:54,20/5/1992,13:34,755-52,41
181,181,Finland,United States,30/4/2012,3:48,10/7/1971,0:27,699-68,22
182,182,Honduras,Sweden,18/10/1982,19:10,28/2/1978,21:38,208-81,41
183,183,Indonesia,Russia,22/10/2001,10:29,20/5/2000,15:01,851-41,32
184,184,Indonesia,Mexico,1/9/2002,14:58,23/2/1993,10:59,311-77,17
185,185,China,Indonesia,15/7/2017,17:55,28/1/2018,22:21,912-93,10
186,186,Brazil,France,27/10/1984,3:48,4/11/1970,12:51,540-34,40
187,187,Indonesia,Philippines,13/7/1977,21:25,7/10/2018,11:22,684-41,29
188,188,Maldives,Indonesia,15/11/1990,11:18,27/11/2000,6:32,596-82,42
189,189,Ukraine,United States,21/4/1976,13:10,17/6/1977,4:29,050-79,38
190,190,Russia,Brazil,7/12/1985,7:21,27/11/1983,2:18,484-92,03
191,191,Indonesia,Indonesia,8/11/1977,10:24,16/2/2009,12:13,692-21,93
192,192,Russia,France,13/5/2015,15:08,14/7/2020,18:44,138-44,15
193,193,Mexico,Cameroon,26/2/2005,4:14,3/11/1971,19:56,684-78,20
194,194,Niger,China,22/8/2012,18:51,29/7/1987,3:31,568-54,12
195,195,Kenya,China,20/1/1992,16:36,19/8/1971,7:06,242-60,13
196,196,Morocco,Poland,31/5/1996,22:53,2/1/1981,6:24,060-59,80
197,197,China,Pakistan,23/3/1974,11:33,2/3/2003,22:44,012-88,12
198,198,China,Sweden,2/5/2016,22:55,10/2/1981,1:23,257-65,36
199,199,China,Indonesia,2/8/1978,4:37,5/10/1998,0:13,708-81,75
200,200,China,Mongolia,26/12/2006,18:20,18/9/1999,2:27,389-69,50
201,201,Indonesia,Indonesia,21/2/1971,6:45,11/3/1992,15:34,292-27,08
202,202,Poland,Kosovo,17/9/2019,4:14,30/7/1971,18:38,657-26,78
203,203,China,Iran,4/10/1972,15:26,20/7/1974,12:26,680-58,90
204,204,Colombia,China,28/3/2004,13:09,15/1/2010,14:31,775-96,38
205,205,China,Russia,2/6/2013,20:38,4/1/1997,1:34,169-71,34
206,206,Indonesia,Portugal,6/4/2003,22:52,14/1/2009,20:40,618-29,00
207,207,Peru,Ukraine,14/12/2003,21:39,15/6/2020,6:33,154-86,15
208,208,China,Yemen,1/10/2007,15:42,5/7/1980,21:02,006-58,38
209,209,China,China,24/4/1978,11:07,5/12/2006,6:45,823-72,32
210,210,Russia,Peru,20/12/1984,21:38,16/2/1974,22:16,385-89,95
211,211,Ukraine,South Korea,22/11/2000,2:36,18/4/2016,9:09,864-62,35
212,212,Mexico,Philippines,1/11/2001,3:27,22/12/2008,11:51,459-27,76
213,213,Senegal,France,1/2/2018,20:06,14/4/2021,10:10,418-54,25
214,214,Russia,Czech Republic,27/12/1988,20:25,8/3/2010,18:14,094-23,55
215,215,China,United States,3/6/1993,23:48,27/5/2020,23:36,635-87,13
216,216,Poland,Portugal,16/3/2011,13:45,22/9/2014,13:07,696-71,14
217,217,Czech Republic,China,8/11/1970,4:03,23/5/1980,7:57,084-14,81
218,218,United States,Portugal,11/7/1974,23:54,25/5/1987,17:16,207-12,89
219,219,Sweden,France,6/3/1996,2:09,27/3/1979,2:28,825-76,88
220,220,Malaysia,Czech Republic,15/10/2015,18:29,10/6/2004,1:01,903-91,46
221,221,Russia,Mongolia,20/4/1976,12:48,13/3/1996,1:36,377-81,30
222,222,Argentina,El Salvador,13/12/2008,5:16,28/10/2007,8:44,110-79,83
223,223,Indonesia,Ukraine,12/3/1999,20:52,30/5/2002,20:34,583-33,62
224,224,Philippines,Indonesia,8/3/1990,8:49,29/3/1983,5:15,025-03,77
225,225,Philippines,Ethiopia,27/11/1979,12:18,29/9/2020,20:22,042-99,03
226,226,Czech Republic,China,30/3/2014,21:43,21/5/1996,12:09,352-41,32
227,227,Canada,Indonesia,28/11/2004,12:41,14/6/1971,22:14,471-91,89
228,228,Brazil,Croatia,5/9/1975,16:56,19/2/1984,4:42,067-14,01
229,229,Thailand,Brazil,18/9/1999,17:42,14/3/2010,3:07,978-31,24
230,230,Guyana,China,14/2/1981,3:26,24/7/1990,13:32,687-78,07
231,231,Saudi Arabia,Jordan,18/8/1987,0:19,13/7/1981,13:18,938-88,25
232,232,France,China,10/8/1978,1:50,25/12/2008,7:07,820-15,63
233,233,Brazil,Portugal,16/10/1987,11:08,24/2/1986,22:41,986-53,62
234,234,China,Philippines,18/5/1985,23:04,28/5/1980,12:59,231-48,55
235,235,Russia,China,20/3/2011,11:30,18/9/2020,8:38,802-84,73
236,236,Serbia,Poland,1/11/2015,14:11,23/1/2008,5:07,388-97,25
237,237,Russia,Russia,31/8/1986,8:50,11/10/1976,3:35,694-95,64
238,238,Thailand,Benin,11/12/1989,8:16,28/1/2016,16:57,102-09,16
239,239,Indonesia,Bulgaria,18/1/1989,12:36,11/2/1973,11:24,209-63,38
240,240,Poland,Indonesia,5/1/1980,12:26,12/6/2003,1:32,362-94,34
241,241,Brazil,Venezuela,20/6/1976,18:53,19/4/1983,18:20,264-21,21
242,242,China,Croatia,16/2/1980,4:06,29/7/2004,0:25,066-69,78
243,243,Honduras,Russia,11/11/2003,20:04,7/5/2013,12:45,007-88,16
244,244,Brazil,China,4/4/1998,16:20,19/12/1995,4:15,741-59,09
245,245,New Zealand,China,9/9/1972,0:19,26/3/1994,8:52,991-58,66
246,246,Ukraine,Indonesia,19/5/2013,15:27,6/10/1983,8:02,221-19,48
247,247,China,China,5/1/2021,21:19,7/12/1977,15:03,178-50,95
248,248,Indonesia,Philippines,24/2/2012,12:24,19/8/1980,13:12,623-04,71
249,249,Malaysia,China,8/7/2013,7:23,17/2/1981,18:16,545-67,87
250,250,China,Venezuela,4/9/2001,23:41,29/6/2008,13:27,356-92,91
251,251,Philippines,Portugal,3/4/1997,19:13,31/8/1996,13:57,804-74,39
252,252,Armenia,Peru,4/2/2004,9:57,14/2/1997,23:12,403-60,21
253,253,Russia,China,11/9/1999,3:18,3/7/1989,4:08,828-91,70
254,254,Sweden,China,8/7/2008,9:00,5/2/1994,21:11,774-21,50
255,255,Philippines,Malawi,23/7/1996,5:34,23/10/1978,11:17,495-17,51
256,256,China,Poland,16/2/1994,10:07,10/2/2000,22:02,614-65,03
257,257,China,Angola,21/5/1971,18:08,8/3/1985,11:32,244-67,61
258,258,Ukraine,Greece,21/10/2020,21:22,12/9/2017,17:44,866-07,58
259,259,Indonesia,Uruguay,22/6/1996,23:47,18/2/1982,18:52,027-48,24
260,260,Sweden,Japan,8/2/2019,11:40,26/6/1971,2:41,806-02,17
261,261,Mexico,China,30/3/1972,10:38,11/12/1997,23:19,321-38,17
262,262,Brazil,Poland,8/5/1977,16:40,4/1/2016,6:54,475-84,73
263,263,Brazil,Indonesia,7/6/2011,23:34,13/8/1980,7:08,900-11,99
264,264,China,Canada,14/3/2012,0:36,29/9/1995,23:12,565-29,50
265,265,Burkina Faso,Indonesia,11/11/2004,4:55,11/12/2007,6:55,977-02,88
266,266,Philippines,Malaysia,27/2/2020,1:55,31/1/2018,15:05,922-94,84
267,267,Botswana,Argentina,18/9/1986,0:25,29/5/1998,3:29,295-36,35
268,268,France,Peru,16/5/1983,21:40,10/12/1985,4:08,265-52,16
269,269,Bosnia and Herzegovina,Sweden,11/12/1973,3:25,13/5/1984,14:49,675-13,78
270,270,Czech Republic,Portugal,22/3/1974,18:16,21/10/1972,0:01,170-26,62
271,271,Indonesia,China,7/10/1979,9:23,21/1/1979,17:44,752-65,71
272,272,China,China,7/4/2009,11:22,27/4/2017,4:53,139-21,24
273,273,Bangladesh,Portugal,17/11/1983,4:19,11/11/1976,17:10,363-87,82
274,274,Indonesia,China,3/6/2005,5:25,14/6/2021,13:01,370-69,24
275,275,China,Indonesia,16/1/1995,6:31,15/4/2000,8:23,222-03,76
276,276,Egypt,Greece,1/12/1997,13:16,18/10/2002,8:24,948-30,31
277,277,China,Jordan,5/7/2001,20:31,24/9/2013,4:39,357-98,22
278,278,Belarus,Russia,3/3/1997,7:41,9/5/1993,18:12,011-21,01
279,279,Japan,China,2/10/2017,7:43,17/9/2000,5:30,489-84,61
280,280,Indonesia,Afghanistan,28/1/1977,18:29,12/7/2021,6:36,498-26,84
281,281,Albania,South Africa,10/9/1979,4:20,29/11/1984,13:18,745-14,81
282,282,Slovenia,Venezuela,27/4/2021,5:56,20/5/1989,7:48,025-31,58
283,283,China,Saudi Arabia,9/1/1988,4:20,9/12/1990,9:26,895-79,10
284,284,Vietnam,American Samoa,11/8/2000,16:09,31/10/2017,22:09,319-20,23
285,285,Indonesia,Colombia,30/3/1989,9:31,26/12/2001,19:17,825-49,67
286,286,Honduras,Poland,24/12/1989,18:25,31/1/2010,0:38,114-86,55
287,287,Russia,Malaysia,17/5/1974,17:55,30/10/2009,0:08,735-89,31
288,288,Japan,France,13/11/2009,9:07,17/2/1980,0:53,421-65,78
289,289,Palestinian Territory,Iran,18/12/2013,17:46,15/11/1984,14:17,655-75,28
290,290,Serbia,Bulgaria,19/5/1987,19:10,10/12/1998,18:04,713-46,82
291,291,Brazil,Russia,29/11/2009,6:44,11/7/1996,5:41,747-68,51
292,292,China,Philippines,2/10/2014,20:23,6/5/1997,3:16,302-84,87
293,293,China,China,1/8/1975,12:52,19/6/2015,9:32,803-11,22
294,294,France,Portugal,14/2/2018,10:41,25/9/1987,0:12,976-31,31
295,295,Brazil,Yemen,15/7/1995,15:32,11/10/1998,0:59,579-25,29
296,296,Belarus,Philippines,29/7/2003,9:38,3/6/2001,8:09,820-47,32
297,297,Bulgaria,China,29/6/2013,5:27,4/8/1984,6:15,231-65,21
298,298,Netherlands,Poland,26/1/1983,7:16,21/7/2021,23:40,738-06,91
299,299,Brazil,China,21/10/1998,11:47,4/5/1973,17:59,798-78,61
300,300,China,Bangladesh,10/6/1994,1:48,24/3/1981,3:30,644-76,72
301,301,Brazil,Brazil,18/12/1978,18:52,2/2/1997,3:57,712-49,21
302,302,Mexico,United States,5/1/2019,1:30,4/10/1986,12:56,444-31,44
303,303,Greece,Georgia,1/4/1985,13:00,7/10/2011,6:21,935-49,69
304,304,Kazakhstan,Honduras,6/11/1971,10:04,1/3/1990,22:50,047-01,45
305,305,Chile,China,26/5/2014,20:26,12/5/2001,14:47,974-41,45
306,306,Russia,Czech Republic,28/4/1977,11:56,3/12/1991,5:18,714-88,26
307,307,Malawi,Indonesia,9/8/2013,16:16,11/7/1972,16:08,410-60,27
308,308,Thailand,China,17/3/2013,4:30,9/9/1993,17:38,362-82,10
309,309,Russia,Argentina,19/10/1984,9:47,30/12/1994,10:53,279-39,68
310,310,Portugal,Philippines,25/6/1989,0:16,22/3/2020,10:06,730-65,74
311,311,China,Russia,1/5/2011,20:06,28/12/1989,12:59,990-43,59
312,312,Sweden,Russia,6/10/2008,12:40,25/6/2000,13:21,032-86,81
313,313,Portugal,Canada,6/6/2017,20:21,16/7/1992,10:46,314-07,05
314,314,Philippines,Bangladesh,24/7/1978,19:30,27/7/2011,14:51,319-72,79
315,315,Poland,China,23/8/1987,3:21,24/6/2000,14:10,695-16,89
316,316,China,Indonesia,4/1/1983,4:05,4/4/2013,4:48,424-39,83
317,317,Brazil,Japan,31/7/1988,14:49,22/5/1994,3:13,519-01,11
318,318,Pakistan,France,26/9/2018,13:27,10/11/1981,3:26,476-35,08
319,319,China,Sweden,1/7/2020,14:45,7/11/2009,8:29,928-76,48
320,320,Ireland,Indonesia,7/9/1996,16:55,16/5/1990,4:30,730-50,56
321,321,Poland,Brazil,12/3/1980,3:41,28/4/1997,5:06,645-07,39
322,322,China,Philippines,12/11/2015,20:58,26/8/2004,10:51,640-81,58
323,323,Russia,China,18/1/2001,19:15,31/10/2017,21:03,572-01,62
324,324,Nigeria,China,1/7/1974,23:45,26/8/1981,14:03,648-14,35
325,325,Russia,Philippines,8/12/1987,4:54,7/3/1991,19:46,974-83,85
326,326,China,Indonesia,17/2/2012,8:37,21/4/2016,6:28,455-76,99
327,327,Philippines,China,27/5/2013,20:40,4/12/2003,9:29,976-25,24
328,328,Philippines,Chile,29/5/1992,3:49,28/9/1972,20:15,871-35,92
329,329,Thailand,France,26/1/1991,1:09,20/7/1992,6:58,770-87,17
330,330,Japan,Brazil,17/1/2005,14:40,30/3/1985,17:25,088-45,13
331,331,Gambia,Croatia,2/2/2000,16:16,22/8/1980,19:27,650-02,37
332,332,Indonesia,Sweden,11/10/1996,8:10,12/7/1985,10:43,972-40,59
333,333,Sweden,Portugal,28/4/2015,9:59,5/12/1978,13:41,298-12,95
334,334,Indonesia,Hungary,19/5/1984,11:55,2/4/2009,21:12,111-99,52
335,335,Russia,Somalia,22/10/1983,19:22,4/1/1994,9:29,356-54,61
336,336,Pakistan,Portugal,11/6/2001,23:37,11/4/2007,16:11,113-23,51
