id,matricula,linea,modelo,capacidad,fabricante
296,430-10,tincidunt,etiam,85,Ryan Group
297,931-02,neque,morbi,21,Spencer-Watsica
298,211-58,metus,ligula,99,Hamill Inc
299,090-32,eleifend,nulla,05,Batz and Sons
300,425-98,pulvinar,suspendisse,09,Hodkiewicz Group
301,220-38,nam,vestibulum,71,Beahan and Sons
302,159-86,cras,felis,60,Casper-Purdy
303,632-60,tincidunt,donec,00,"Heller, Beier and Medhurst"
304,667-11,vitae,erat,97,Strosin LLC
305,364-45,in,imperdiet,51,Carter-Gottlieb
306,206-76,nullam,semper,74,"Ward, Konopelski and Kunze"
307,649-95,duis,morbi,47,Bernier Group
308,283-88,magnis,ac,34,Bailey Inc
309,028-11,ultrices,rutrum,30,Nader-Heaney
310,329-42,donec,nibh,25,Hermiston Group
311,017-88,tincidunt,integer,63,Hoppe-Shanahan
312,109-19,ipsum,id,54,"Olson, Crona and Kozey"
313,721-79,duis,ac,31,"Schinner, Barrows and Hahn"
314,683-77,lobortis,praesent,73,"Price, Farrell and Rath"
315,677-21,vestibulum,quam,20,Hartmann-Lindgren
316,577-80,interdum,morbi,62,Torp Group
317,128-14,consequat,ullamcorper,10,Blanda Inc
318,083-04,blandit,sit,74,"Morar, Douglas and Frami"
319,196-74,in,in,33,Olson-O'Kon
320,664-15,maecenas,felis,14,Baumbach Group
321,341-70,pretium,at,96,Morar and Sons
322,335-92,est,erat,92,"Marks, Carter and Baumbach"
323,649-90,convallis,nulla,60,Sawayn-Stokes
324,077-46,consectetuer,vestibulum,35,Upton-Corkery
325,087-53,consequat,dolor,27,"Predovic, Satterfield and Orn"
326,073-23,elit,nulla,97,"Hammes, Walker and O'Conner"
327,483-23,maecenas,eget,18,"Johnson, Lesch and Bins"
328,736-26,orci,aliquet,07,"Herzog, Deckow and Mayer"
329,176-83,sit,curae,91,"Aufderhar, King and Herzog"
330,931-25,turpis,laoreet,24,Schumm LLC
331,644-44,eros,ut,23,Lesch Inc
332,607-92,ultrices,vestibulum,50,"Windler, Lehner and Waters"
333,597-50,in,nisl,55,Goldner and Sons
334,903-08,consequat,erat,16,"Purdy, Goodwin and VonRueden"
335,749-32,rutrum,augue,86,Conroy Inc
336,755-89,nunc,ut,24,Emard Inc
337,082-92,vestibulum,aliquet,96,Pfannerstill Inc
338,514-66,donec,nulla,38,"DuBuque, Monahan and Emmerich"
339,338-12,potenti,non,71,Kulas-MacGyver
340,082-43,gravida,porta,83,O'Conner and Sons
341,067-61,nulla,nascetur,30,Stamm Inc
342,093-18,nam,lorem,05,Schinner and Sons
343,810-14,aliquet,est,78,"Nitzsche, Von and Kessler"
344,843-33,massa,turpis,76,Hand-Lind
345,914-80,amet,non,14,"Mills, Labadie and Goyette"
346,608-89,vulputate,primis,28,Johnston-Hayes
347,906-61,ullamcorper,nisi,01,Paucek and Sons
348,714-45,montes,vulputate,85,Ernser Group
349,173-27,maecenas,habitasse,60,"Zboncak, Durgan and McGlynn"
350,431-59,ullamcorper,dapibus,78,"Hagenes, Wehner and Morissette"
351,704-30,leo,tortor,84,"Turner, Wisozk and Gerlach"
352,128-93,accumsan,lobortis,44,Kunze and Sons
353,390-50,eget,cursus,33,Ratke Inc
354,510-38,vestibulum,congue,55,"Durgan, Lueilwitz and Toy"
355,096-22,vitae,nulla,67,"Hansen, Stokes and Mann"
356,661-02,luctus,orci,48,Luettgen-Blick
357,720-68,posuere,accumsan,34,Hansen-O'Hara
358,134-33,dapibus,rutrum,44,Cassin and Sons
359,296-90,augue,nec,09,Price Group
360,906-51,suscipit,ultrices,45,Grimes and Sons
